time_completed,M,Z,batch_size,Number of Epochs,test_set_size,detector_type,activation,gen_hidden_dim,discim_hidden_dim,avg_validation_loss,avg_test_loss,avg_num_bits_changed,auc,orig_mal_detect_rate,mod_mal_detect_rate,ben_mal_detect_rate
2019-10-05 11:22:52.525040,7708,10,32,100,1125,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,5335.635,0.83128235,0.97072601,0.00000000,0.09963100
2019-10-05 18:56:56.271986,7682,10,32,100,1123,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-16.118101119995117,-16.118101119995117,4958.798,0.87655701,0.98356807,0.00000000,0.08118081
2019-10-06 11:16:30.662499,6724,10,32,100,562,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.219642594456673,-0.219516277313232,1955.973,1.00000000,1.00000000,1.00000000,0.00000000
2019-10-07 14:29:46.256174,6724,10,32,100,562,RandomForest,LeakyReLU,"[256, 256]","[256, 256]",-0.358733892440796,-0.358761131763458,1923.234,1.00000000,1.00000000,1.00000000,0.00000000
